company_id,year,net_profit_margin,operating_profit_margin,roe,roce,roa,debt_equity,high_leverage,interest_coverage,interest_label,interest_warning,net_debt,asset_turnover,book_value_per_share,dividend_payout_ratio,free_cash_flow,cfo_quality_score,cfo_quality_label,capex_intensity,capex_label,fcf_conversion,cfo_sign,cfi_sign,cff_sign,pattern_label,revenue_cagr_3yr,revenue_cagr_5yr,revenue_cagr_10yr,pat_cagr_3yr,pat_cagr_5yr,pat_cagr_10yr,eps_cagr_3yr,eps_cagr_5yr,eps_cagr_10yr,revenue_cagr_3yr_flag,revenue_cagr_5yr_flag,revenue_cagr_10yr_flag,pat_cagr_3yr_flag,pat_cagr_5yr_flag,pat_cagr_10yr_flag,eps_cagr_3yr_flag,eps_cagr_5yr_flag,eps_cagr_10yr_flag,quality_score
JSWSTEEL,2019,8.88,22.33,21.62,18.5,6.55,1.36,0,4.88,Interest Bearing,0,45502.0,0.74,115.6,16.0,3246.0,1.94,High Quality,13.43,Capital Intensive,17.15,+,-,+,Mixed,26.83,10.6,,,79.66,,,74.11,,NORMAL,NORMAL,INSUFFICIENT,TURNAROUND,NORMAL,INSUFFICIENT,TURNAROUND,NORMAL,INSUFFICIENT,88.89
JSWSTEEL,2020,5.34,16.11,10.71,7.41,2.97,1.68,0,2.7,Interest Bearing,0,60164.0,0.56,121.59,15.0,-6804.0,3.26,High Quality,26.71,Capital Intensive,-57.6,+,-,+,Mixed,9.66,6.72,,4.17,17.88,,4.26,19.42,,NORMAL,NORMAL,INSUFFICIENT,NORMAL,NORMAL,INSUFFICIENT,NORMAL,NORMAL,INSUFFICIENT,33.33
JSWSTEEL,2021,9.86,25.27,16.84,15.29,5.31,1.33,0,5.22,Interest Bearing,0,53811.0,0.54,154.85,25.0,11087.0,2.39,High Quality,9.65,Capital Intensive,54.95,+,-,-,Shareholder Returns,3.54,13.96,,8.8,,,8.27,,,NORMAL,NORMAL,INSUFFICIENT,NORMAL,TURNAROUND,INSUFFICIENT,NORMAL,TURNAROUND,INSUFFICIENT,66.67
JSWSTEEL,2022,14.3,26.72,31.11,25.62,10.66,1.07,0,8.2,Interest Bearing,0,67297.0,0.74,223.58,25.0,11522.0,1.25,High Quality,10.08,Capital Intensive,29.46,+,-,-,Shareholder Returns,19.98,21.36,,40.66,43.28,,38.49,41.47,,NORMAL,NORMAL,INSUFFICIENT,NORMAL,NORMAL,INSUFFICIENT,NORMAL,NORMAL,INSUFFICIENT,88.89
JSWSTEEL,2023,2.49,11.13,6.3,8.96,1.97,1.23,0,2.9,Interest Bearing,0,76047.0,0.79,218.26,25.0,12593.0,5.63,High Quality,6.47,Moderate,68.18,+,-,-,Shareholder Returns,31.3,18.2,15.82,1.84,-7.5,16.11,0.0,-8.15,15.57,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,33.33
JSWSTEEL,2024,5.13,16.09,11.55,13.01,3.94,1.13,0,3.66,Interest Bearing,0,80738.0,0.77,254.65,25.0,-2389.0,1.35,High Quality,8.27,Capital Intensive,-8.48,+,-,-,Shareholder Returns,29.9,15.6,13.07,4.46,3.59,36.42,2.94,2.38,33.51,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,33.33
JSWSTEEL,2024,5.13,16.09,11.26,12.32,3.85,1.2,0,3.66,Interest Bearing,0,84518.0,0.75,261.2,25.0,-2389.0,1.35,High Quality,8.27,Capital Intensive,-8.48,+,-,-,Shareholder Returns,29.9,15.6,13.07,4.46,3.59,36.42,2.94,2.38,33.51,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,33.33
KOTAKBANK,2013,20.65,60.92,14.66,1.46,1.93,5.6,1,1.29,Interest Bearing,1,44654.0,0.09,40.93,2.0,-6157.0,1.29,High Quality,83.36,Capital Intensive,-93.25,+,-,+,Mixed,,,,,,,,,,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,11.11
KOTAKBANK,2014,21.08,58.84,13.24,1.67,2.07,4.5,1,1.33,Interest Bearing,1,47146.0,0.1,49.57,2.0,7938.0,3.59,High Quality,9.43,Capital Intensive,112.55,+,-,-,Shareholder Returns,,,,,,,,,,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,22.22
KOTAKBANK,2015,23.31,72.96,14.01,1.22,2.09,4.71,1,1.19,Interest Bearing,1,58669.0,0.09,57.4,2.0,-2165.0,0.74,Moderate,33.54,Capital Intensive,-22.28,+,-,+,Mixed,,,,,,,,,,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,0.0
