BAJAJ-AUTO | 2021 | ROCE | Source=33.50 | Calculated=23.73 | Category=Formula Difference
BAJAJ-AUTO | 2022 | ROE | Source=26.50 | Calculated=20.65 | Category=Formula Difference
BAJAJ-AUTO | 2022 | ROCE | Source=33.50 | Calculated=26.42 | Category=Formula Difference
BAJAJ-AUTO | 2022 | ROE | Source=26.50 | Calculated=20.65 | Category=Formula Difference
BAJAJ-AUTO | 2022 | ROCE | Source=33.50 | Calculated=26.42 | Category=Formula Difference
BAJAJ-AUTO | 2023 | ROE | Source=26.50 | Calculated=20.64 | Category=Formula Difference
BAJAJ-AUTO | 2023 | ROCE | Source=33.50 | Calculated=27.57 | Category=Formula Difference
BAJAJ-AUTO | 2023 | ROE | Source=26.50 | Calculated=20.64 | Category=Formula Difference
BAJAJ-AUTO | 2023 | ROCE | Source=33.50 | Calculated=27.57 | Category=Formula Difference
AXISBANK | 2013 | ROCE | Source=7.06 | Calculated=0.54 | Category=Formula Difference
AXISBANK | 2014 | ROCE | Source=7.06 | Calculated=0.60 | Category=Formula Difference
AXISBANK | 2015 | ROCE | Source=7.06 | Calculated=0.61 | Category=Formula Difference
AXISBANK | 2016 | ROCE | Source=7.06 | Calculated=0.76 | Category=Formula Difference
AXISBANK | 2017 | ROE | Source=18.40 | Calculated=6.53 | Category=Formula Difference
AXISBANK | 2018 | ROE | Source=18.40 | Calculated=0.43 | Category=Formula Difference
AXISBANK | 2019 | ROE | Source=18.40 | Calculated=6.90 | Category=Formula Difference
AXISBANK | 2019 | ROCE | Source=7.06 | Calculated=1.80 | Category=Formula Difference
AXISBANK | 2020 | ROE | Source=18.40 | Calculated=1.88 | Category=Formula Difference
AXISBANK | 2021 | ROE | Source=18.40 | Calculated=6.36 | Category=Formula Difference
AXISBANK | 2021 | ROCE | Source=7.06 | Calculated=2.04 | Category=Formula Difference
AXISBANK | 2022 | ROE | Source=18.40 | Calculated=11.01 | Category=Formula Difference
AXISBANK | 2022 | ROCE | Source=7.06 | Calculated=1.29 | Category=Formula Difference
AXISBANK | 2023 | ROE | Source=18.40 | Calculated=7.38 | Category=Formula Difference
AXISBANK | 2023 | ROCE | Source=7.06 | Calculated=1.01 | Category=Formula Difference
AXISBANK | 2024 | ROCE | Source=7.06 | Calculated=1.07 | Category=Formula Difference
BAJAJFINSV | 2013 | ROE | Source=11.72 | Calculated=28.38 | Category=Formula Difference
BAJAJFINSV | 2013 | ROCE | Source=21.14 | Calculated=13.12 | Category=Formula Difference
BAJAJFINSV | 2014 | ROE | Source=11.72 | Calculated=23.53 | Category=Formula Difference
BAJAJFINSV | 2014 | ROCE | Source=21.14 | Calculated=10.17 | Category=Formula Difference
BAJAJFINSV | 2015 | ROE | Source=11.72 | Calculated=21.72 | Category=Formula Difference
BAJAJFINSV | 2015 | ROCE | Source=21.14 | Calculated=8.79 | Category=Formula Difference
BAJAJFINSV | 2016 | ROE | Source=11.72 | Calculated=20.41 | Category=Formula Difference
BAJAJFINSV | 2016 | ROCE | Source=21.14 | Calculated=7.78 | Category=Formula Difference
BAJAJFINSV | 2017 | ROE | Source=11.72 | Calculated=21.36 | Category=Formula Difference
BAJAJFINSV | 2017 | ROCE | Source=21.14 | Calculated=7.76 | Category=Formula Difference
BAJAJFINSV | 2018 | ROE | Source=11.72 | Calculated=20.39 | Category=Formula Difference
BAJAJFINSV | 2018 | ROCE | Source=21.14 | Calculated=7.26 | Category=Formula Difference
BAJAJFINSV | 2019 | ROE | Source=11.72 | Calculated=22.64 | Category=Formula Difference
BAJAJFINSV | 2019 | ROCE | Source=21.14 | Calculated=6.79 | Category=Formula Difference
BAJAJFINSV | 2020 | ROE | Source=11.72 | Calculated=19.15 | Category=Formula Difference
BAJAJFINSV | 2020 | ROCE | Source=21.14 | Calculated=5.53 | Category=Formula Difference
BAJAJFINSV | 2021 | ROE | Source=11.72 | Calculated=20.56 | Category=Formula Difference
BAJAJFINSV | 2021 | ROCE | Source=21.14 | Calculated=6.31 | Category=Formula Difference
BAJAJFINSV | 2022 | ROE | Source=11.72 | Calculated=20.66 | Category=Formula Difference
BAJAJFINSV | 2022 | ROCE | Source=21.14 | Calculated=5.88 | Category=Formula Difference
BAJAJFINSV | 2023 | ROE | Source=11.72 | Calculated=26.31 | Category=Formula Difference
BAJAJFINSV | 2023 | ROCE | Source=21.14 | Calculated=6.76 | Category=Formula Difference
BAJAJFINSV | 2024 | ROE | Source=11.72 | Calculated=25.85 | Category=Formula Difference
BAJAJFINSV | 2024 | ROCE | Source=21.14 | Calculated=6.38 | Category=Formula Difference
BAJAJFINSV | 2024 | ROE | Source=11.72 | Calculated=22.82 | Category=Formula Difference
BAJAJFINSV | 2024 | ROCE | Source=21.14 | Calculated=5.76 | Category=Formula Difference
BAJAJHLDNG | 2013 | ROCE | Source=13.10 | Calculated=3.14 | Category=Formula Difference
BAJAJHLDNG | 2014 | ROCE | Source=13.10 | Calculated=3.38 | Category=Formula Difference
BAJAJHLDNG | 2015 | ROCE | Source=13.10 | Calculated=3.88 | Category=Formula Difference
BAJAJHLDNG | 2016 | ROCE | Source=13.10 | Calculated=2.85 | Category=Formula Difference
BAJAJHLDNG | 2017 | ROCE | Source=13.10 | Calculated=3.57 | Category=Formula Difference
BAJAJHLDNG | 2022 | ROE | Source=14.80 | Calculated=9.63 | Category=Formula Difference
BAJFINANCE | 2015 | ROCE | Source=11.90 | Calculated=5.57 | Category=Formula Difference
BAJFINANCE | 2016 | ROCE | Source=11.90 | Calculated=5.28 | Category=Formula Difference
BAJFINANCE | 2017 | ROCE | Source=11.90 | Calculated=5.53 | Category=Formula Difference
BAJFINANCE | 2018 | ROE | Source=22.10 | Calculated=15.75 | Category=Formula Difference
BAJFINANCE | 2018 | ROCE | Source=11.90 | Calculated=5.02 | Category=Formula Difference
BAJFINANCE | 2019 | ROCE | Source=11.90 | Calculated=4.51 | Category=Formula Difference
BAJFINANCE | 2020 | ROE | Source=22.10 | Calculated=16.28 | Category=Formula Difference
BAJFINANCE | 2020 | ROCE | Source=11.90 | Calculated=5.66 | Category=Formula Difference
BAJFINANCE | 2021 | ROE | Source=22.10 | Calculated=11.97 | Category=Formula Difference
BAJFINANCE | 2021 | ROCE | Source=11.90 | Calculated=6.44 | Category=Formula Difference
BAJFINANCE | 2022 | ROE | Source=22.10 | Calculated=16.08 | Category=Formula Difference
BAJFINANCE | 2022 | ROCE | Source=11.90 | Calculated=5.71 | Category=Formula Difference
BAJFINANCE | 2023 | ROCE | Source=11.90 | Calculated=4.70 | Category=Formula Difference
BAJFINANCE | 2024 | ROCE | Source=11.90 | Calculated=4.36 | Category=Formula Difference
BAJFINANCE | 2024 | ROE | Source=22.10 | Calculated=16.65 | Category=Formula Difference
BAJFINANCE | 2024 | ROCE | Source=11.90 | Calculated=3.92 | Category=Formula Difference
BANKBARODA | 2013 | ROCE | Source=6.33 | Calculated=1.19 | Category=Formula Difference
BANKBARODA | 2014 | ROCE | Source=6.33 | Calculated=0.99 | Category=Formula Difference
BANKBARODA | 2015 | ROE | Source=16.70 | Calculated=9.40 | Category=Formula Difference
BANKBARODA | 2015 | ROCE | Source=6.33 | Calculated=1.13 | Category=Formula Difference
BANKBARODA | 2016 | ROE | Source=16.70 | Calculated=-11.84 | Category=Formula Difference
BANKBARODA | 2017 | ROE | Source=16.70 | Calculated=4.31 | Category=Formula Difference
BANKBARODA | 2018 | ROE | Source=16.70 | Calculated=-3.94 | Category=Formula Difference
BANKBARODA | 2019 | ROE | Source=16.70 | Calculated=2.12 | Category=Formula Difference
BANKBARODA | 2020 | ROE | Source=16.70 | Calculated=1.29 | Category=Formula Difference
BANKBARODA | 2021 | ROE | Source=16.70 | Calculated=1.97 | Category=Formula Difference
BANKBARODA | 2022 | ROE | Source=16.70 | Calculated=8.64 | Category=Formula Difference
BHARTIARTL | 2013 | ROE | Source=14.90 | Calculated=4.50 | Category=Formula Difference
BHARTIARTL | 2014 | ROE | Source=14.90 | Calculated=5.05 | Category=Formula Difference
BHARTIARTL | 2015 | ROCE | Source=13.10 | Calculated=24.68 | Category=Formula Difference
BHARTIARTL | 2016 | ROCE | Source=13.10 | Calculated=18.10 | Category=Formula Difference
BHARTIARTL | 2017 | ROE | Source=14.90 | Calculated=6.29 | Category=Formula Difference
BHARTIARTL | 2018 | ROE | Source=14.90 | Calculated=3.14 | Category=Formula Difference
BHARTIARTL | 2019 | ROE | Source=14.90 | Calculated=2.36 | Category=Formula Difference
BHARTIARTL | 2020 | ROE | Source=14.90 | Calculated=-39.75 | Category=Formula Difference
BHARTIARTL | 2020 | ROCE | Source=13.10 | Calculated=-6.73 | Category=Formula Difference
BHARTIARTL | 2021 | ROE | Source=14.90 | Calculated=-20.97 | Category=Formula Difference
BHARTIARTL | 2022 | ROCE | Source=13.10 | Calculated=19.29 | Category=Formula Difference
BHARTIARTL | 2024 | ROE | Source=14.90 | Calculated=9.83 | Category=Formula Difference
BEL | 2013 | ROE | Source=26.30 | Calculated=15183.33 | Category=Formula Difference
BEL | 2013 | ROCE | Source=34.60 | Calculated=4280.00 | Category=Formula Difference
BEL | 2014 | ROE | Source=26.30 | Calculated=13600.00 | Category=Formula Difference
BEL | 2014 | ROCE | Source=34.60 | Calculated=4842.86 | Category=Formula Difference
BEL | 2015 | ROE | Source=26.30 | Calculated=17100.00 | Category=Formula Difference
BEL | 2015 | ROCE | Source=34.60 | Calculated=5087.88 | Category=Formula Difference
BEL | 2016 | ROE | Source=26.30 | Calculated=11141.67 | Category=Formula Difference
BEL | 2016 | ROCE | Source=34.60 | Calculated=5286.49 | Category=Formula Difference
BEL | 2017 | ROE | Source=26.30 | Calculated=10153.33 | Category=Formula Difference
BEL | 2017 | ROCE | Source=34.60 | Calculated=4986.36 | Category=Formula Difference
BEL | 2018 | ROE | Source=26.30 | Calculated=4616.13 | Category=Formula Difference
BEL | 2018 | ROCE | Source=34.60 | Calculated=2821.52 | Category=Formula Difference
BEL | 2019 | ROE | Source=26.30 | Calculated=3851.02 | Category=Formula Difference
BEL | 2019 | ROCE | Source=34.60 | Calculated=3089.58 | Category=Formula Difference
BEL | 2020 | ROE | Source=26.30 | Calculated=3318.18 | Category=Formula Difference
BEL | 2020 | ROCE | Source=34.60 | Calculated=2878.79 | Category=Formula Difference
BEL | 2021 | ROE | Source=26.30 | Calculated=3559.32 | Category=Formula Difference
BEL | 2021 | ROCE | Source=34.60 | Calculated=3082.41 | Category=Formula Difference
BEL | 2022 | ROE | Source=26.30 | Calculated=3478.26 | Category=Formula Difference
BEL | 2022 | ROCE | Source=34.60 | Calculated=2808.66 | Category=Formula Difference
BEL | 2023 | ROE | Source=26.30 | Calculated=3981.33 | Category=Formula Difference
BEL | 2023 | ROCE | Source=34.60 | Calculated=3817.54 | Category=Formula Difference
BEL | 2024 | ROE | Source=26.30 | Calculated=4744.05 | Category=Formula Difference
BEL | 2024 | ROCE | Source=34.60 | Calculated=4495.28 | Category=Formula Difference
BEL | 2024 | ROE | Source=26.30 | Calculated=4379.12 | Category=Formula Difference
BEL | 2024 | ROCE | Source=34.60 | Calculated=3378.11 | Category=Formula Difference
BHEL | 2013 | ROE | Source=1.05 | Calculated=21.91 | Category=Formula Difference
